Daemon iniciado ter 05 mai 2026 20:44:40 -03
dom 10 mai 2026 12:47:33 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:48:33 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:49:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:50:57 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:52:18 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:53:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:54:26 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:55:28 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:56:33 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:57:37 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 12:58:34 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:00:21 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:01:30 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:03:17 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:04:12 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:05:56 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:07:52 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:08:48 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:10:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:11:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:12:25 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:13:27 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:14:28 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:15:31 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:16:31 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:17:38 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:19:36 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:21:14 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:23:44 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:26:25 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:27:23 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:28:21 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:30:03 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:31:39 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:32:37 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:33:39 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:34:42 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:35:46 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:36:46 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:38:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:41:40 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:42:41 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:44:26 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:46:11 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:47:54 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:49:27 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:51:06 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:52:51 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:53:48 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:54:55 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:55:55 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:56:54 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:57:50 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:58:50 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 13:59:51 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:00:50 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:01:48 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:02:49 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:03:48 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:04:52 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:05:50 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:06:47 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:07:45 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:08:42 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:09:38 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:11:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:12:25 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:13:23 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:14:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:15:57 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:17:29 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:18:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:20:17 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:21:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:23:02 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:24:37 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:25:33 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:27:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:28:17 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:29:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:30:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:31:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:32:18 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:33:19 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:34:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:35:24 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:36:28 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:37:33 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:38:39 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:39:41 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:40:47 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:41:52 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:43:40 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:46:16 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:47:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:48:49 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:49:48 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:50:48 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:51:54 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:53:02 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:54:05 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 14:55:13 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:07:12 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:08:10 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:09:08 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:10:08 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:11:05 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:12:07 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:13:09 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:14:13 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:15:18 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:16:21 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:17:23 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:18:27 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:19:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:20:37 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:21:37 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:22:39 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:23:41 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:24:52 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:26:08 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:27:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:28:24 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:29:25 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:30:29 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:31:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:32:35 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:33:40 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:34:43 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:35:43 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:36:46 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:37:44 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:38:41 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:39:42 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:42:56 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 15:51:21 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 16:00:22 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 16:05:49 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 16:28:09 -03 | ALERTA: CPU alta (86%)
--- Daemon SRE iniciado dom 10 mai 2026 16:35:57 -03 ---
dom 10 mai 2026 16:35:58 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 17:03:24 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 17:06:02 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 17:13:27 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 17:20:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 17:27:17 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 17:40:07 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:06:59 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:10:45 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:28:28 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:41:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:44:30 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:52:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 18:56:17 -03 | ALERTA: CPU alta (100%)
